marker,Identifier,Score,Component,Description
SDordoy,Participant 12895773,5,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895773,1,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895773,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895773,4,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895773,3,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895773,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895773,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895773,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895773,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895773,2,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895773,2,18,Discussion correctly interprets findings
SDordoy,Participant 12895773,4,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895773,2,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895773,2,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895773,4,22,Discussion concludes appropriately.
SDordoy,Participant 12895773,4,23,Overall clarity of writing
SDordoy,Participant 12895773,5,24,Overall quality of grammar and spelling
SDordoy,Participant 12895773,4,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895773,4,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895785,2,1,Abstract is clear and accurate
SDordoy,Participant 12895785,3,2,Abstract contains correct information
SDordoy,Participant 12895785,3,3,Introduction is clear and accurate
SDordoy,Participant 12895785,3,4,Introduction gives big-picture overview
SDordoy,Participant 12895785,3,5,Introduction outlines specific research area
SDordoy,Participant 12895785,3,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895785,4,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895785,1,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895785,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895785,3,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895785,3,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895785,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895785,2,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895785,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895785,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895785,2,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895785,2,18,Discussion correctly interprets findings
SDordoy,Participant 12895785,3,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895785,4,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895785,3,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895785,3,22,Discussion concludes appropriately.
SDordoy,Participant 12895785,3,23,Overall clarity of writing
SDordoy,Participant 12895785,4,24,Overall quality of grammar and spelling
SDordoy,Participant 12895785,3,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895785,3,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895800,3,1,Abstract is clear and accurate
SDordoy,Participant 12895800,3,2,Abstract contains correct information
SDordoy,Participant 12895800,3,3,Introduction is clear and accurate
SDordoy,Participant 12895800,2,4,Introduction gives big-picture overview
SDordoy,Participant 12895800,3,5,Introduction outlines specific research area
SDordoy,Participant 12895800,3,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895800,4,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895800,4,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895800,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895800,4,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895800,3,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895800,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895800,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895800,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895800,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895800,2,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895800,3,18,Discussion correctly interprets findings
SDordoy,Participant 12895800,3,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895800,2,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895800,2,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895800,4,22,Discussion concludes appropriately.
SDordoy,Participant 12895800,3,23,Overall clarity of writing
SDordoy,Participant 12895800,4,24,Overall quality of grammar and spelling
SDordoy,Participant 12895800,4,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895800,3,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895811,4,1,Abstract is clear and accurate
SDordoy,Participant 12895811,4,2,Abstract contains correct information
SDordoy,Participant 12895811,3,3,Introduction is clear and accurate
SDordoy,Participant 12895811,3,4,Introduction gives big-picture overview
SDordoy,Participant 12895811,3,5,Introduction outlines specific research area
SDordoy,Participant 12895811,3,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895811,5,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895811,2,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895811,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895811,4,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895811,4,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895811,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895811,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895811,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895811,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895811,3,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895811,4,18,Discussion correctly interprets findings
SDordoy,Participant 12895811,3,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895811,4,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895811,2,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895811,3,22,Discussion concludes appropriately.
SDordoy,Participant 12895811,3,23,Overall clarity of writing
SDordoy,Participant 12895811,4,24,Overall quality of grammar and spelling
SDordoy,Participant 12895811,3,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895811,5,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895825,3,1,Abstract is clear and accurate
SDordoy,Participant 12895825,3,2,Abstract contains correct information
SDordoy,Participant 12895825,3,3,Introduction is clear and accurate
SDordoy,Participant 12895825,4,4,Introduction gives big-picture overview
SDordoy,Participant 12895825,3,5,Introduction outlines specific research area
SDordoy,Participant 12895825,3,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895825,5,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895825,1,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895825,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895825,3,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895825,2,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895825,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895825,2,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895825,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895825,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895825,2,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895825,2,18,Discussion correctly interprets findings
SDordoy,Participant 12895825,2,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895825,2,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895825,2,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895825,2,22,Discussion concludes appropriately.
SDordoy,Participant 12895825,4,23,Overall clarity of writing
SDordoy,Participant 12895825,3,24,Overall quality of grammar and spelling
SDordoy,Participant 12895825,3,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895825,3,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895839,3,1,Abstract is clear and accurate
SDordoy,Participant 12895839,2,2,Abstract contains correct information
SDordoy,Participant 12895839,4,3,Introduction is clear and accurate
SDordoy,Participant 12895839,5,4,Introduction gives big-picture overview
SDordoy,Participant 12895839,4,5,Introduction outlines specific research area
SDordoy,Participant 12895839,4,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895839,3,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895839,1,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895839,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895839,3,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895839,3,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895839,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895839,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895839,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895839,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895839,2,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895839,3,18,Discussion correctly interprets findings
SDordoy,Participant 12895839,2,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895839,2,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895839,2,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895839,2,22,Discussion concludes appropriately.
SDordoy,Participant 12895839,3,23,Overall clarity of writing
SDordoy,Participant 12895839,4,24,Overall quality of grammar and spelling
SDordoy,Participant 12895839,3,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895839,3,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895855,4,1,Abstract is clear and accurate
SDordoy,Participant 12895855,3,2,Abstract contains correct information
SDordoy,Participant 12895855,4,3,Introduction is clear and accurate
SDordoy,Participant 12895855,3,4,Introduction gives big-picture overview
SDordoy,Participant 12895855,3,5,Introduction outlines specific research area
SDordoy,Participant 12895855,3,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895855,2,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895855,1,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895855,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895855,4,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895855,4,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895855,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895855,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895855,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895855,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895855,3,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895855,4,18,Discussion correctly interprets findings
SDordoy,Participant 12895855,4,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895855,2,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895855,4,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895855,1,22,Discussion concludes appropriately.
SDordoy,Participant 12895855,4,23,Overall clarity of writing
SDordoy,Participant 12895855,4,24,Overall quality of grammar and spelling
SDordoy,Participant 12895855,5,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895855,5,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895862,4,1,Abstract is clear and accurate
SDordoy,Participant 12895862,4,2,Abstract contains correct information
SDordoy,Participant 12895862,3,3,Introduction is clear and accurate
SDordoy,Participant 12895862,4,4,Introduction gives big-picture overview
SDordoy,Participant 12895862,3,5,Introduction outlines specific research area
SDordoy,Participant 12895862,3,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895862,5,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895862,1,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895862,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895862,4,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895862,4,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895862,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895862,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895862,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895862,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895862,4,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895862,5,18,Discussion correctly interprets findings
SDordoy,Participant 12895862,4,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895862,4,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895862,2,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895862,2,22,Discussion concludes appropriately.
SDordoy,Participant 12895862,3,23,Overall clarity of writing
SDordoy,Participant 12895862,3,24,Overall quality of grammar and spelling
SDordoy,Participant 12895862,3,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895862,2,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895897,2,1,Abstract is clear and accurate
SDordoy,Participant 12895897,3,2,Abstract contains correct information
SDordoy,Participant 12895897,4,3,Introduction is clear and accurate
SDordoy,Participant 12895897,4,4,Introduction gives big-picture overview
SDordoy,Participant 12895897,4,5,Introduction outlines specific research area
SDordoy,Participant 12895897,3,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895897,5,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895897,3,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895897,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895897,3,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895897,3,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895897,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895897,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895897,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895897,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895897,2,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895897,2,18,Discussion correctly interprets findings
SDordoy,Participant 12895897,3,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895897,3,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895897,3,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895897,3,22,Discussion concludes appropriately.
SDordoy,Participant 12895897,4,23,Overall clarity of writing
SDordoy,Participant 12895897,4,24,Overall quality of grammar and spelling
SDordoy,Participant 12895897,4,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895897,4,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895903,3,1,Abstract is clear and accurate
SDordoy,Participant 12895903,3,2,Abstract contains correct information
SDordoy,Participant 12895903,4,3,Introduction is clear and accurate
SDordoy,Participant 12895903,4,4,Introduction gives big-picture overview
SDordoy,Participant 12895903,3,5,Introduction outlines specific research area
SDordoy,Participant 12895903,2,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895903,4,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895903,2,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895903,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895903,4,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895903,4,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895903,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895903,2,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895903,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895903,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895903,2,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895903,2,18,Discussion correctly interprets findings
SDordoy,Participant 12895903,3,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895903,4,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895903,3,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895903,3,22,Discussion concludes appropriately.
SDordoy,Participant 12895903,5,23,Overall clarity of writing
SDordoy,Participant 12895903,5,24,Overall quality of grammar and spelling
SDordoy,Participant 12895903,5,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895903,4,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895940,4,1,Abstract is clear and accurate
SDordoy,Participant 12895940,5,2,Abstract contains correct information
SDordoy,Participant 12895940,5,3,Introduction is clear and accurate
SDordoy,Participant 12895940,4,4,Introduction gives big-picture overview
SDordoy,Participant 12895940,4,5,Introduction outlines specific research area
SDordoy,Participant 12895940,4,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895940,4,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895940,2,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895940,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895940,5,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895940,3,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895940,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895940,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895940,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895940,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895940,4,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895940,4,18,Discussion correctly interprets findings
SDordoy,Participant 12895940,4,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895940,5,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895940,5,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895940,5,22,Discussion concludes appropriately.
SDordoy,Participant 12895940,4,23,Overall clarity of writing
SDordoy,Participant 12895940,4,24,Overall quality of grammar and spelling
SDordoy,Participant 12895940,5,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895940,4,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895956,3,1,Abstract is clear and accurate
SDordoy,Participant 12895956,2,2,Abstract contains correct information
SDordoy,Participant 12895956,4,3,Introduction is clear and accurate
SDordoy,Participant 12895956,4,4,Introduction gives big-picture overview
SDordoy,Participant 12895956,3,5,Introduction outlines specific research area
SDordoy,Participant 12895956,3,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895956,5,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895956,5,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895956,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895956,5,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895956,3,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895956,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895956,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895956,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895956,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895956,2,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895956,2,18,Discussion correctly interprets findings
SDordoy,Participant 12895956,3,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895956,2,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895956,2,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895956,2,22,Discussion concludes appropriately.
SDordoy,Participant 12895956,5,23,Overall clarity of writing
SDordoy,Participant 12895956,4,24,Overall quality of grammar and spelling
SDordoy,Participant 12895956,4,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895956,4,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895958,4,1,Abstract is clear and accurate
SDordoy,Participant 12895958,4,2,Abstract contains correct information
SDordoy,Participant 12895958,4,3,Introduction is clear and accurate
SDordoy,Participant 12895958,4,4,Introduction gives big-picture overview
SDordoy,Participant 12895958,4,5,Introduction outlines specific research area
SDordoy,Participant 12895958,4,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895958,5,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895958,4,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895958,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895958,5,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895958,4,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895958,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895958,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895958,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895958,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895958,4,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895958,4,18,Discussion correctly interprets findings
SDordoy,Participant 12895958,5,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895958,5,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895958,4,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895958,3,22,Discussion concludes appropriately.
SDordoy,Participant 12895958,4,23,Overall clarity of writing
SDordoy,Participant 12895958,5,24,Overall quality of grammar and spelling
SDordoy,Participant 12895958,4,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895958,4,26,Correct usage of APA-formatted citations and references
STalbot,Participant 12895781,5,1,Abstract is clear and accurate
STalbot,Participant 12895781,4,2,Abstract contains correct information
STalbot,Participant 12895781,4,3,Introduction is clear and accurate
STalbot,Participant 12895781,3,4,Introduction gives big-picture overview
STalbot,Participant 12895781,4,5,Introduction outlines specific research area
STalbot,Participant 12895781,3,6,Introduction gives rationale for current experiment
STalbot,Participant 12895781,4,7,"Participant section is clear, accurate, and contain correct information"
STalbot,Participant 12895781,5,8,Sample sizes are justified through a power calculation
STalbot,Participant 12895781,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
STalbot,Participant 12895781,4,10,"Procedure section is clear, accurate, and contain correct information."
STalbot,Participant 12895781,3,11,"Result section is overall clear, accurate, and contain correct information"
STalbot,Participant 12895781,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
STalbot,Participant 12895781,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
STalbot,Participant 12895781,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
STalbot,Participant 12895781,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
STalbot,Participant 12895781,5,17,Discussion correctly and clearly summarises findings
STalbot,Participant 12895781,3,18,Discussion correctly interprets findings
STalbot,Participant 12895781,3,19,Discussion makes appropriate links to previous literature
STalbot,Participant 12895781,5,20,Discussion provides good considerations of the limitations of the current study
STalbot,Participant 12895781,4,21,"Discussion makes a good, sensible suggestion for future work"
STalbot,Participant 12895781,3,22,Discussion concludes appropriately.
STalbot,Participant 12895781,4,23,Overall clarity of writing
STalbot,Participant 12895781,4,24,Overall quality of grammar and spelling
STalbot,Participant 12895781,5,25,Correct formatting of sections and sub-sections
STalbot,Participant 12895781,5,26,Correct usage of APA-formatted citations and references
STalbot,Participant 12895970,4,1,Abstract is clear and accurate
STalbot,Participant 12895970,3,2,Abstract contains correct information
STalbot,Participant 12895970,3,3,Introduction is clear and accurate
STalbot,Participant 12895970,3,4,Introduction gives big-picture overview
STalbot,Participant 12895970,3,5,Introduction outlines specific research area
STalbot,Participant 12895970,4,6,Introduction gives rationale for current experiment
STalbot,Participant 12895970,5,7,"Participant section is clear, accurate, and contain correct information"
STalbot,Participant 12895970,1,8,Sample sizes are justified through a power calculation
STalbot,Participant 12895970,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
STalbot,Participant 12895970,4,10,"Procedure section is clear, accurate, and contain correct information."
STalbot,Participant 12895970,3,11,"Result section is overall clear, accurate, and contain correct information"
STalbot,Participant 12895970,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
STalbot,Participant 12895970,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
STalbot,Participant 12895970,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
STalbot,Participant 12895970,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
STalbot,Participant 12895970,4,17,Discussion correctly and clearly summarises findings
STalbot,Participant 12895970,3,18,Discussion correctly interprets findings
STalbot,Participant 12895970,4,19,Discussion makes appropriate links to previous literature
STalbot,Participant 12895970,2,20,Discussion provides good considerations of the limitations of the current study
STalbot,Participant 12895970,3,21,"Discussion makes a good, sensible suggestion for future work"
STalbot,Participant 12895970,4,22,Discussion concludes appropriately.
STalbot,Participant 12895970,4,23,Overall clarity of writing
STalbot,Participant 12895970,4,24,Overall quality of grammar and spelling
STalbot,Participant 12895970,5,25,Correct formatting of sections and sub-sections
STalbot,Participant 12895970,5,26,Correct usage of APA-formatted citations and references
STalbot,Participant 12895881,4,1,Abstract is clear and accurate
STalbot,Participant 12895881,3,2,Abstract contains correct information
STalbot,Participant 12895881,4,3,Introduction is clear and accurate
STalbot,Participant 12895881,4,4,Introduction gives big-picture overview
STalbot,Participant 12895881,5,5,Introduction outlines specific research area
STalbot,Participant 12895881,5,6,Introduction gives rationale for current experiment
STalbot,Participant 12895881,5,7,"Participant section is clear, accurate, and contain correct information"
STalbot,Participant 12895881,3,8,Sample sizes are justified through a power calculation
STalbot,Participant 12895881,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
STalbot,Participant 12895881,3,10,"Procedure section is clear, accurate, and contain correct information."
STalbot,Participant 12895881,3,11,"Result section is overall clear, accurate, and contain correct information"
